symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
AL29,2,2931,83400.0,83500.0,1772,83400.0,0,0.0048,83000.0,83970.0,82280.0,83000.0,2038984091.9,2461900,1523,2025-05-14 16:55:00,GO,2029-07-09
AL30,2,46891,77500.0,77550.0,28000,77500.0,0,0.0002,77460.0,77900.0,77100.0,77480.0,127907644335.6,164838084,33039,2025-05-14 16:56:00,GO,2030-07-09
AL35,2,4438,78730.0,78800.0,175,78800.0,0,0.0001,78760.0,79000.0,78160.0,78790.0,2412895345.4,3064715,2687,2025-05-14 16:56:00,GO,2035-07-09
AL41,2,6059,73750.0,74050.0,780,74050.0,0,0.0032,75480.0,75480.0,73250.0,73810.0,533036379.8,720130,1115,2025-05-14 16:55:00,GO,2041-07-09
