symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
AL29D,2,2931,73.14,73.3,3686,73.15,0,0.0048,73.0,73.3,72.3,72.8,885236.83,1218537,815,2025-05-14 16:55:00,GO,2029-07-09
AL30D,2,27268,68.08,68.15,69629,68.15,0,0.0034999999999999996,68.0,68.28,67.52,67.91,43755770.33,64283769,27884,2025-05-14 16:56:00,GO,2030-07-09
AL35D,2,10,69.19,69.25,200,69.2,0,0.0014000000000000002,69.0,69.32,68.11,69.1,750917.22,1087433,1077,2025-05-14 16:55:00,GO,2035-07-09
AL41D,2,765,64.8,64.9,9620,64.8,0,-0.0046,65.27,65.42,64.45,65.1,168801.1,260038,1742,2025-05-14 16:54:00,GO,2041-07-09
