symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration,tipo
BA7DD,2,7653,67.0,67.11,768,67.0,0.0,0.0,67.5,67.5,66.5,67.0,85523.04,127462,64,2025-05-14 16:36:00,GO,2037-09-01,BONOS SOBERANOS
BA7DX,2,0,0.0,0.0,0,76296.0,0.0,0.0,0.0,76296.0,76230.0,74637.4999584,1733500554.72,2272728,2,2025-05-14 16:16:00,GO,2037-09-01,BONOS SOBERANOS
BA7DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BA7DZ,2,0,0.0,0.0,0,66.0,0.0,0.0,0.0,66.0,66.0,64.33,1500000.48,2272728,2,2025-05-14 16:17:00,GO,2037-09-01,BONOS SOBERANOS
BAD25,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,68930.0,0.0,0,0,,GO,2025-12-03,BONOS SOBERANOS
BAD5X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11500.0,0.0,0,0,,GO,2025-12-03,BONOS SOBERANOS
BAO25,2,0,0.0,0.0,0,29.77,0.0,0.0,29.77,29.77,29.77,29.77,148850.0,500000,1,2025-05-14 14:59:00,GO,2025-10-27,BONOS SOBERANOS
BAS26,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.4986,0.0,0,0,,GO,2026-09-09,BONOS SOBERANOS
BB37D,2,2924,69850.0,69910.0,80,69910.0,0.0,0.0079,69500.0,70470.0,68920.0,69360.0,53939617.2,77486,136,2025-05-14 16:34:00,GO,2037-09-01,BONOS SOBERANOS
BB37E,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1702.7176,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DC,2,2600,58.0,62.0,4900,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DD,2,544,61.2,61.54,45538,61.2,0.0,0.0001,60.81,61.65,60.0,61.19,12545.7,20589,39,2025-05-14 16:34:00,GO,2037-09-01,BONOS SOBERANOS
BB7DX,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,69194.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BC28C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0,0,,GO,2028-02-22,BONOS SOBERANOS
BC28D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.9544,0.0,0,0,,GO,2028-02-22,BONOS SOBERANOS
BC28X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,117.45,0.0,0,0,,GO,2028-02-22,BONOS SOBERANOS
BC28Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0,0,,GO,2028-02-22,BONOS SOBERANOS
BC28Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0,0,,GO,2028-02-22,BONOS SOBERANOS
BC37D,2,43,67790.0,68880.0,1679,68880.0,0.0,0.027999999999999997,68890.0,68890.0,67010.0,67000.0,348700.6,508,24,2025-05-14 16:28:00,GO,2037-09-01,BONOS SOBERANOS
BC37E,2,1000,65000.0,89500.0,1416,0.0,0.0,0.0,0.0,0.0,0.0,74500.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BC7DC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.375,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BC7DD,2,2939,51.75,59.0,2090,51.75,0.0,0.0147,51.75,51.75,51.75,51.0,31.57,61,1,2025-05-14 15:12:00,GO,2037-09-01,BONOS SOBERANOS
BDC28,2,5006000,117.8,118.85,4000,118.85,0.0,-0.0008,118.9,120.0,117.25,118.95,766314.0,646000,35,2025-05-14 16:27:00,GO,2028-02-22,BONOS SOBERANOS
BPA7C,2,112083,98.8,99.25,100000,98.8,0.0,-0.0025,98.75,99.29,98.75,99.05,116672.07,117735,37,2025-05-14 16:23:00,GO,2027-10-31,BONOS SOBERANOS
BPA7D,2,4445,100.2,100.5,1900,100.35,0.0,0.0004,100.0,101.0,100.0,100.3,58941.38,58725,73,2025-05-14 16:23:00,GO,2027-10-31,BONOS SOBERANOS
BPA7X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,115281.6,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPA7Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPA7Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,97.27,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPB7C,2,12500,95.67,95.97,10532,96.0,0.0,0.0040999999999999995,95.97,96.0,95.05,95.6,544345.96,568728,158,2025-05-14 16:23:00,GO,2027-10-31,BONOS SOBERANOS
BPB7D,2,12561,97.22,97.34,300,97.4,0.0,0.0072,96.65,97.55,96.15,96.7,3905951.31,4025395,710,2025-05-14 16:33:00,GO,2027-10-31,BONOS SOBERANOS
BPB7X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,110380.1,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPB7Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95.674,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPB7Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95.65,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPC7C,2,5000,93.09,93.35,2142,93.35,0.0,0.0037,93.5,93.85,92.7,93.0,1304937.05,1395696,305,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPC7D,2,5000,94.6,94.69,11349,94.72,0.0,0.0055000000000000005,94.4,95.18,93.9,94.2,5092612.59,5373749,1762,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPC7X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,106810.988989,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPC7Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,91.29,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPC7Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,92.57,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPD7C,2,900,93.2,93.5,25812,93.39,0.0,0.005,92.83,93.75,92.76,92.92,144188.4,154369,72,2025-05-14 16:30:00,GO,2027-10-31,BONOS SOBERANOS
BPD7D,2,6878,94.67,94.82,20000,94.67,0.0,0.0049,94.47,95.0,93.8,94.2,1797523.07,1899027,933,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPD7X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,111504.0,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPD7Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.006,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPD7Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,90.35,0.0,0,0,,GO,2027-10-31,BONOS SOBERANOS
BPJ25,2,296400,21750.0,22290.0,300,21750.0,0.0,-0.0246,22300.0,23000.0,21500.0,22300.0,735201830.0,3299400,200,2025-05-14 16:35:00,GO,2025-06-30,BONOS SOBERANOS
BPJ5C,2,100000,18.85,19.25,100000,18.8,0.0,-0.0105,19.5,19.5,18.75,19.0,204139.06,1065300,92,2025-05-14 16:07:00,GO,2025-06-30,BONOS SOBERANOS
BPJ5D,2,20000,19.064,19.59,300,18.863,0.0,-0.0291,19.9,19.9,18.863,19.429,6999.35,36400,26,2025-05-14 15:37:00,GO,2025-06-30,BONOS SOBERANOS
BPJ5X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21924.2,0.0,0,0,,GO,2025-06-30,BONOS SOBERANOS
BPJ5Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.03,0.0,0,0,,GO,2025-06-30,BONOS SOBERANOS
BPJ5Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0,0,,GO,2025-06-30,BONOS SOBERANOS
BPOA7,2,1747,114350.0,114500.0,1917,114350.0,0.0,-0.0039000000000000003,115690.0,115690.0,113740.0,114800.0,738805001.4,646212,194,2025-05-14 16:35:00,GO,2027-10-31,BONOS SOBERANOS
BPOB7,2,12500,110770.0,110900.0,10532,110900.0,0.0,0.0055000000000000005,109500.0,111250.0,109110.0,110290.0,4123195784.8,3725628,931,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPOC7,2,3292,107850.0,107900.0,4804,107900.0,0.0,0.0055000000000000005,107990.0,108690.0,106060.0,107300.0,9188286577.5,8499633,2104,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPOD7,2,900,108000.0,108050.0,5000,108000.0,0.0,0.0084,107980.0,108610.0,106430.0,107100.0,5340472870.3,4948970,1243,2025-05-14 16:36:00,GO,2027-10-31,BONOS SOBERANOS
BPY26,2,2900,113000.0,113050.0,2400,113000.0,0.0,0.0008,111480.0,113190.0,110010.0,112900.0,24364880310.0,21591300,2825,2025-05-14 16:36:00,GO,2026-05-31,BONOS SOBERANOS
BPY6C,2,115000,97.55,97.83,2400,97.6,0.0,0.0005,97.3,97.85,97.3,97.55,3187511.39,3268000,661,2025-05-14 16:21:00,GO,2026-05-31,BONOS SOBERANOS
BPY6D,2,6600,99.1,99.13,18300,99.1,0.0,0.002,98.3,99.3,98.3,98.9,4569689.95,4619800,1653,2025-05-14 16:37:01,GO,2026-05-31,BONOS SOBERANOS
BPY6X,2,0,0.0,0.0,0,111027.75,0.0,0.0,0.0,111027.75,111000.0,112417.5,6877975639.5,6195600,2,2025-05-14 15:16:00,GO,2026-05-31,BONOS SOBERANOS
BPY6Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0,0,,GO,2026-05-31,BONOS SOBERANOS
BPY6Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.0,0,0,,GO,2026-05-31,BONOS SOBERANOS
C21DC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
C21DD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
C21DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.497,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
C21DZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.08,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
C24DC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.334,0.0,0,0,,GO,2028-02-18,BONOS SOBERANOS
C24DD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.2643,0.0,0,0,,GO,2028-02-18,BONOS SOBERANOS
C27DC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52.8055,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
C27DD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.905,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
C27DX,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39932.0,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
C27DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,66.05,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
C27DZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
CARP,2,8990,116500.0,118890.0,343,116500.0,0.0,-0.020099999999999996,120000.0,120000.0,115010.0,118900.0,562466.2,480,13,2025-05-14 16:20:00,GO,2027-04-12,BONOS SOBERANOS
CCO26,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.689,0.0,0,0,,GO,2026-10-27,BONOS SOBERANOS
CEDI,2,50000,70000.0,120000.0,20000,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0,0,,GO,2040-12-31,BONOS SOBERANOS
CH24D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,67847.624,0.0,0,0,,GO,2028-02-18,BONOS SOBERANOS
CHAQ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,GO,2026-12-04,BONOS SOBERANOS
CHAQC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,GO,2026-12-04,BONOS SOBERANOS
CI02Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,0.0,0,0,,GO,,BONOS SOBERANOS
CO21D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40750.0,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
CO21X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40778.581,0.0,0,0,,GO,2025-12-10,BONOS SOBERANOS
CO24D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,126600.0,0.0,0,0,,GO,2027-06-01,BONOS SOBERANOS
CO26,2,3000,22570.0,23000.0,2000,23175.0,0.0,-0.0032,22700.0,23240.0,22550.0,23250.0,26231500.0,114000,22,2025-05-14 15:23:00,GO,2026-10-27,BONOS SOBERANOS
CO26D,2,10000,19.65,20.05,6000,20.05,0.0,0.0075,19.9,20.2,19.9,19.9,12867.5,64000,15,2025-05-14 15:23:00,GO,2026-10-27,BONOS SOBERANOS
CO26X,2,0,0.0,0.0,0,23616.423,0.0,0.0,0.0,23616.423,23616.423,23516.482,384475366.44,1628000,1,2025-05-14 14:44:00,GO,2026-10-27,BONOS SOBERANOS
CO26Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0,0,,GO,2026-10-27,BONOS SOBERANOS
CO26Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0,0,,GO,2026-10-27,BONOS SOBERANOS
CO27D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,101402.9969,0.0,0,0,,GO,2029-02-01,BONOS SOBERANOS
COD7,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,116.75,0.0,0,0,,GO,2027-12-05,BONOS SOBERANOS
COD7X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,109.19,0.0,0,0,,GO,2027-12-05,BONOS SOBERANOS
COY27,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.75,0.0,0,0,,GO,2027-05-24,BONOS SOBERANOS
CUAP,2,644,26915.0,27295.0,550,26915.0,0.0,-0.0031,27395.0,27450.0,26105.0,27000.0,27858269.15,104376,100,2025-05-14 16:29:00,GO,2045-12-31,BONOS SOBERANOS
CUAPC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.3044,0.0,0,0,,GO,2045-12-31,BONOS SOBERANOS
CUAPD,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0,0,,GO,2045-12-31,BONOS SOBERANOS
CUAPX,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26700.0,0.0,0,0,,GO,2045-12-31,BONOS SOBERANOS
CUAPY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.962,0.0,0,0,,GO,2045-12-31,BONOS SOBERANOS
CUAPZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.895,0.0,0,0,,GO,2045-12-31,BONOS SOBERANOS
CY27X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,137.64,0.0,0,0,,GO,2027-05-24,BONOS SOBERANOS
DCO24,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,87.715,0.0,0,0,,GO,2027-06-01,BONOS SOBERANOS
DH01B,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,GO,2028-04-30,BONOS SOBERANOS
DICP,2,5006,40325.0,40350.0,98957,40325.0,0.0,0.0033,40400.0,40490.0,39910.0,40190.0,978699876.2,2437745,206,2025-05-14 16:36:00,GO,2033-12-31,BONOS SOBERANOS
DICPC,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.6028,0.0,0,0,,GO,2033-12-31,BONOS SOBERANOS
DICPD,2,6000,35.201,35.85,5924,35.5,0.0,0.0028000000000000004,35.08,35.99,35.0,35.4,7340.0,20696,7,2025-05-14 16:15:00,GO,2033-12-31,BONOS SOBERANOS
DICPX,2,0,0.0,0.0,0,40130.0,0.0,0.0,0.0,40250.0,40130.0,39800.0,5626600000.0,14000000,2,2025-05-14 16:00:00,GO,2033-12-31,BONOS SOBERANOS
DICPY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.201,0.0,0,0,,GO,2033-12-31,BONOS SOBERANOS
DICPZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.943,0.0,0,0,,GO,2033-12-31,BONOS SOBERANOS
DIP0,2,986,39500.0,40290.0,687,39500.0,0.0,-0.011200000000000002,38800.0,40300.0,38800.0,39950.0,946891.1,2403,14,2025-05-14 16:35:00,GO,2033-12-31,BONOS SOBERANOS
DIP0C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,689.9988,0.0,0,0,,GO,2033-12-31,BONOS SOBERANOS
DIP0D,2,1,31.0,37.0,23,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0,0,,GO,2033-12-31,BONOS SOBERANOS
DT21Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.2947,0.0,0,0,,GO,,BONOS SOBERANOS
DT22Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,76.3413,0.0,0,0,,GO,,BONOS SOBERANOS
DT23Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0,0,,GO,,BONOS SOBERANOS
DT24Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0,0,,GO,,BONOS SOBERANOS
DT29A,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,92.4448,0.0,0,0,,GO,2025-11-15,BONOS SOBERANOS
DT31A,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.3808,0.0,0,0,,GO,2025-12-15,BONOS SOBERANOS
EF25C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.2,0.0,0,0,,GO,2028-08-08,BONOS SOBERANOS
EF25D,2,448,62.5,65.0,505,64.0,0.0,-0.0077,64.1,64.91,64.0,64.5,2291.34,3573,7,2025-05-14 15:23:00,GO,2028-08-08,BONOS SOBERANOS
EG01Q,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,90900.0,0.0,0,0,,GO,,BONOS SOBERANOS
ERF25,2,1,70200.0,75340.0,20,70000.0,0.0,-0.0291,69000.0,71000.0,69000.0,72100.0,1986248.5,2830,21,2025-05-14 15:12:00,GO,2028-08-08,BONOS SOBERANOS
GD29,2,2089,85700.0,85820.0,6794,85700.0,0.0,0.0007000000000000001,85650.0,88480.0,84510.0,85640.0,593554571.2,694158,302,2025-05-14 16:36:00,GO,2029-07-09,BONOS SOBERANOS
GD29C,2,2089,73.96,74.26,6794,74.07,0.0,-0.0038,74.58,74.58,74.07,74.36,58.58,79,3,2025-05-14 14:59:00,GO,2029-07-09,BONOS SOBERANOS
GD29D,2,25982,75.2,75.35,1043,75.17,0.0,0.0009,75.49,75.72,74.0,75.1,75423.75,100346,167,2025-05-14 16:25:00,GO,2029-07-09,BONOS SOBERANOS
GD29X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,85860.0,0.0,0,0,,GO,2029-07-09,BONOS SOBERANOS
GD29Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,70.008,0.0,0,0,,GO,2029-07-09,BONOS SOBERANOS
