symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
PEC1Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-10-11
PEC2C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-01-23
PEC2D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-01-23
PEC2O,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,CORP,2026-01-23
PEC2X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24748.0,0.0,0,0,,CORP,2026-01-23
PEC2Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-01-23
PEC2Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-01-23
PEC4O,2,5000,40000.0,56000.0,12153,56000.0,0.0,0.0,56000.0,56000.0,56000.0,56000.0,11200.0,20,1,2025-05-14 13:24:00,CORP,2026-04-14
PEC4X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-04-14
PEC4Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-04-14
PEC4Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-04-14
PEC5O,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,82404.2748,0.0,0,0,,CORP,2027-04-14
PEC6C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-09-14
PEC6D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2026-09-14
PEC6O,2,0,0.0,109980.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0,0,,CORP,2026-09-14
PEC6X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,80850.0,0.0,0,0,,CORP,2026-09-14
